1,Aligarh Muslim University,Aligarh,Uttar Pradesh,"Entry No. 63, Union list - The 7th schedule under Article 246 of the Constitution of India",Ministry of Education
2,Banaras Hindu University,Varanasi,Uttar Pradesh,"Entry No. 63, Union list - The 7th schedule under Article 246 of the Constitution of India",Ministry of Education
3,University of Delhi,Delhi,Delhi,"Entry No. 63, Union list - The 7th schedule under Article 246 of the Constitution of India",Ministry of Education
4,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Gwalior,Madhya Pradesh,"The Indian Institutes of Information Technology Act 2014 and their subsequent amendments",Ministry of Education
5,"Indian Institute of Information Technology, Allahabad",Allahabad,Uttar Pradesh,"The Indian Institutes of Information Technology Act, 2014 and their subsequent amendments",Ministry of Education
6,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",Jabalpur,Madhya Pradesh,"The Indian Institutes of Information Technology Act, 2014 and their subsequent amendments",Ministry of Education
7,"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",Kancheepuram,Tamil Nadu,"The Indian Institutes of Information Technology Act 2014 and their subsequent amendments",Ministry of Education
8,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Kurnool,Andhra Pradesh,"The Indian Institutes of Information Technology Act 2014 and their subsequent amendments",Ministry of Education
9,"Indian Institute of Information Technology, Dharwad",Dharwad,Karnataka,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2017",Ministry of Education
10,"Indian Institute of Information Technology, Guwahati",Guwahati,Assam,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2018",Ministry of Education
11,"Indian Institute of Information Technology, Kalyani",Kalyani,West Bengal,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2019",Ministry of Education
12,"Indian Institute of Information Technology, Kota",Kota,Rajasthan,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2020",Ministry of Education
13,"Indian Institute of Information Technology, Kottayam",Kottayam,Kerala,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2021",Ministry of Education
14,"Indian Institute of Information Technology, Lucknow",Lucknow,Uttar Pradesh,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2022",Ministry of Education
15,"Indian Institute of Information Technology, Senapati",Senapati,Manipur,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2023",Ministry of Education
16,"Indian Institute of Information Technology, Nagpur",Nagpur,Maharashtra,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2024",Ministry of Education
17,"Indian Institute of Information Technology, Pune",Pune,Maharashtra,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2025",Ministry of Education
18,"Indian Institute of Information Technology, Ranchi",Ranchi,Jharkhand,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2026",Ministry of Education
19,"Indian Institute of Information Technology, Sonepat",Sonepat,Haryana,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2027",Ministry of Education
20,"Indian Institute of Information Technology, Sri City",Sri City,Andhra Pradesh,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2028",Ministry of Education
21,"Indian Institute of Information Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2029",Ministry of Education
22,"Indian Institute of Information Technology, Una",Una,Himachal Pradesh,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2030",Ministry of Education
23,"Indian Institute of Information Technology, Vadodara",Vadodara,Gujarat,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2031",Ministry of Education
24,"Indian Institute of Information Technology, Agartala",Agartala,Tripura,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2032",Ministry of Education
25,"Indian Institute of Information Technology, Bhagalpur",Bhagalpur,Bihar,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2033",Ministry of Education
26,"Indian Institute of Information Technology, Bhopal",Bhopal,Madhya Pradesh,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2034",Ministry of Education
27,"Indian Institute of Information Technology, Raichur",Raichur,Karnataka,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2035",Ministry of Education
28,"Indian Institute of Information Technology, Surat",Surat,Gujarat,"The Indian Institutes of Information Technology (Public-Private Partnership) Act 2036",Ministry of Education
